+2.40004995004995E+009;-6.415697479E+001
+2.40014985014985E+009;-6.127413559E+001
+2.40024975024975E+009;-5.991803741E+001
+2.40034965034965E+009;-5.715403366E+001
+2.40044955044955E+009;-5.130084610E+001
+2.40054945054945E+009;-4.917889786E+001
+2.40064935064935E+009;-4.760181427E+001
+2.40074925074925E+009;-4.681595993E+001
+2.40084915084915E+009;-4.590200424E+001
+2.40094905094905E+009;-4.680716705E+001
+2.40104895104895E+009;-4.793652725E+001
+2.40114885114885E+009;-4.889213943E+001
+2.40124875124875E+009;-6.097312164E+001
+2.40134865134865E+009;-5.768231201E+001
+2.40144855144855E+009;-5.513301086E+001
+2.40154845154845E+009;-4.321727753E+001
+2.40164835164835E+009;-4.108597565E+001
+2.40174825174825E+009;-3.840917587E+001
+2.40184815184815E+009;-3.553421783E+001
+2.40194805194805E+009;-3.335881805E+001
+2.40204795204795E+009;-3.233924484E+001
+2.40214785214785E+009;-3.371942902E+001
+2.40224775224775E+009;-3.046469688E+001
+2.40234765234765E+009;-2.899362564E+001
+2.40244755244755E+009;-2.570334244E+001
+2.40254745254746E+009;-2.472621155E+001
+2.40264735264736E+009;-2.413010216E+001
+2.40274725274726E+009;-2.371660423E+001
+2.40284715284716E+009;-2.362878799E+001
+2.40294705294706E+009;-2.360230446E+001
+2.40304695304696E+009;-2.369009209E+001
+2.40314685314686E+009;-2.372104645E+001
+2.40324675324676E+009;-2.396115494E+001
+2.40334665334666E+009;-2.413723946E+001
+2.40344655344656E+009;-2.424207497E+001
+2.40354645354646E+009;-2.476961899E+001
+2.40364635364636E+009;-2.714795113E+001
+2.40374625374626E+009;-2.877109909E+001
+2.40384615384616E+009;-3.035910797E+001
+2.40394605394606E+009;-3.052295494E+001
+2.40404595404596E+009;-3.121065521E+001
+2.40414585414586E+009;-3.298531723E+001
+2.40424575424576E+009;-3.582209015E+001
+2.40434565434566E+009;-3.593803787E+001
+2.40444555444556E+009;-3.651411057E+001
+2.40454545454546E+009;-3.973645782E+001
+2.40464535464536E+009;-3.621639252E+001
+2.40474525474526E+009;-3.549328232E+001
+2.40484515484516E+009;-3.534297180E+001
+2.40494505494506E+009;-3.508484650E+001
+2.40504495504496E+009;-3.537714005E+001
+2.40514485514486E+009;-3.559375000E+001
+2.40524475524476E+009;-3.035256577E+001
+2.40534465534466E+009;-2.683725929E+001
+2.40544455544456E+009;-2.544075775E+001
+2.40554445554446E+009;-2.472229004E+001
+2.40564435564436E+009;-2.451375389E+001
+2.40574425574426E+009;-2.550500870E+001
+2.40584415584416E+009;-2.391414452E+001
+2.40594405594406E+009;-2.360443878E+001
+2.40604395604396E+009;-2.364802933E+001
+2.40614385614386E+009;-2.366711044E+001
+2.40624375624376E+009;-2.438144875E+001
+2.40634365634366E+009;-2.404554939E+001
+2.40644355644356E+009;-2.414311028E+001
+2.40654345654346E+009;-2.471566391E+001
+2.40664335664336E+009;-2.459578133E+001
+2.40674325674327E+009;-2.370153618E+001
+2.40684315684317E+009;-2.372242355E+001
+2.40694305694307E+009;-2.354845810E+001
+2.40704295704297E+009;-2.358026314E+001
+2.40714285714287E+009;-2.361888123E+001
+2.40724275724277E+009;-2.379424095E+001
+2.40734265734267E+009;-2.391220093E+001
+2.40744255744257E+009;-2.413723564E+001
+2.40754245754247E+009;-2.501138687E+001
+2.40764235764237E+009;-2.691165543E+001
+2.40774225774227E+009;-2.720176888E+001
+2.40784215784217E+009;-2.807867622E+001
+2.40794205794207E+009;-2.902246857E+001
+2.40804195804197E+009;-3.079074669E+001
+2.40814185814187E+009;-3.276442719E+001
+2.40824175824177E+009;-3.192559814E+001
+2.40834165834167E+009;-2.933968735E+001
+2.40844155844157E+009;-2.908116722E+001
+2.40854145854147E+009;-2.915297890E+001
+2.40864135864137E+009;-2.955320549E+001
+2.40874125874127E+009;-3.062830162E+001
+2.40884115884117E+009;-3.232154465E+001
+2.40894105894107E+009;-3.632357407E+001
+2.40904095904097E+009;-3.964406967E+001
+2.40914085914087E+009;-3.122080803E+001
+2.40924075924077E+009;-2.811955833E+001
+2.40934065934067E+009;-2.651961327E+001
+2.40944055944057E+009;-2.636253166E+001
